iter	Passed	Remaining
777	33639	9598
778	33684	9556
779	33733	9514
780	33781	9472
781	33830	9430
782	33877	9388
783	33922	9345
784	33970	9304
785	34016	9261
786	34062	9218
787	34110	9177
788	34162	9135
789	34206	9092
790	34251	9050
791	34302	9008
792	34348	8966
793	34387	8921
794	34442	8881
795	34526	8848
796	34588	8809
797	34633	8766
798	34682	8724
799	34732	8683
800	34778	8640
801	34836	8600
802	34885	8558
803	34936	8516
804	34986	8474
805	35032	8432
806	35081	8390
807	35135	8348
808	35182	8306
809	35228	8263
810	35273	8220
811	35321	8177
812	35367	8135
813	35412	8091
814	35462	8049
815	35509	8007
816	35554	7963
817	35601	7921
818	35647	7878
819	35698	7836
820	35747	7793
821	35796	7751
822	35845	7709
823	35892	7666
824	35937	7623
825	35984	7580
826	36033	7537
827	36078	7494
828	36125	7451
829	36176	7409
830	36224	7366
831	36270	7323
832	36316	7280
833	36361	7237
834	36411	7195
835	36458	7152
836	36505	7109
837	36548	7065
838	36600	7023
839	36652	6981
840	36699	6938
841	36742	6894
842	36788	6851
843	36834	6808
844	36880	6765
845	36923	6721
846	36984	6680
847	37029	6637
848	37073	6593
849	37118	6550
850	37163	6506
851	37222	6465
852	37266	6422
853	37312	6378
854	37364	6336
855	37413	6293
856	37459	6250
857	37506	6207
858	37578	6168
859	37628	6125
860	37674	6082
861	37717	6038
862	37764	5995
863	37811	5951
864	37860	5908
865	37903	5865
866	37950	5821
867	37998	5778
868	38050	5735
869	38097	5692
870	38141	5649
871	38192	5606
872	38240	5563
873	38290	5520
874	38337	5476
875	38384	5433
876	38433	5390
877	38482	5347
878	38535	5304
879	38585	5261
880	38632	5218
881	38678	5174
882	38727	5131
883	38782	5089
884	38831	5045
885	38875	5002
886	38923	4958
887	38968	4914
888	39011	4870
889	39060	4827
890	39111	4784
891	39164	4741
892	39213	4698
893	39263	4655
894	39309	4611
895	39357	4568
896	39401	4524
897	39449	4480
898	39499	4437
899	39546	4394
900	39590	4350
901	39633	4306
902	39679	4262
903	39727	4218
904	39775	4175
905	39819	4131
906	39868	4087
907	39917	4044
908	39962	4000
909	40009	3956
910	40056	3913
911	40101	3869
912	40147	3825
913	40193	3781
914	40249	3739
915	40299	3695
916	40345	3651
917	40395	3608
918	40443	3564
919	40502	3521
920	40548	3478
921	40593	3434
922	40651	3391
923	40703	3347
924	40752	3304
925	40802	3260
926	40847	3216
927	40893	3172
928	40905	3126
929	40955	3082
930	41004	3039
931	41051	2995
932	41102	2951
933	41153	2908
934	41198	2864
935	41248	2820
936	41294	2776
937	41338	2732
938	41384	2688
939	41430	2644
940	41477	2600
941	41524	2556
942	41574	2512
943	41621	2469
944	41664	2424
945	41709	2380
946	41753	2336
947	41797	2292
948	41845	2248
949	41889	2204
950	41933	2160
951	41977	2116
952	42018	2072
953	42062	2028
954	42107	1984
955	42157	1940
956	42208	1896
957	42253	1852
958	42298	1808
959	42341	1764
960	42392	1720
961	42438	1676
962	42487	1632
963	42530	1588
964	42577	1544
965	42623	1500
966	42673	1456
967	42723	1412
968	42770	1368
969	42817	1324
970	42862	1280
971	42909	1236
972	42954	1191
973	42999	1147
974	43048	1103
975	43095	1059
976	43141	1015
977	43188	971
978	43235	927
979	43282	883
980	43330	839
981	43378	795
982	43426	751
983	43477	706
984	43520	662
985	43568	618
986	43617	574
987	43666	530
988	43710	486
989	43754	441
990	43802	397
991	43849	353
992	43895	309
993	43948	265
994	43995	221
995	44042	176
996	44085	132
997	44130	88
998	44173	44
999	44221	0
